iter	Logloss
0	0.6930435913
1	0.6929872559
2	0.692887854
3	0.6927979004
4	0.6927576538
5	0.6927132446
6	0.6926602295
7	0.6925975586
8	0.6925499268
9	0.6924710083
10	0.6924405518
11	0.6923951294
12	0.6923272949
13	0.692302063
14	0.6922581787
15	0.6922071411
16	0.6921603027
17	0.6921016846
18	0.692084436
19	0.6920466919
20	0.6919898071
21	0.691942395
22	0.6919108032
23	0.6918887451
24	0.6918324585
25	0.6917799194
26	0.6917334839
27	0.6916984741
28	0.6916616455
29	0.6916218384
30	0.6915956909
31	0.6915512451
32	0.6915230103
33	0.6914831909
34	0.6914537598
35	0.6914262939
36	0.6913794434
37	0.6913344116
38	0.6912649536
39	0.6912123535
40	0.6911518677
41	0.6911263428
42	0.6910749512
43	0.6910596558
44	0.6910413818
45	0.6909997314
46	0.6909750732
47	0.6909513184
48	0.6909151978
49	0.6908857544
50	0.690850708
51	0.6908252808
52	0.690809729
53	0.6907920532
54	0.690767334
55	0.690739502
56	0.6906970703
57	0.6906580444
58	0.6906307495
59	0.6906118042
60	0.6905812744
61	0.6905465332
62	0.6905085693
63	0.6904720581
64	0.6904436035
65	0.6904225586
66	0.6903910278
67	0.6903748291
68	0.6903539917
69	0.6903282349
70	0.6902894653
71	0.6902429565
72	0.6902130249
73	0.6901945068
74	0.6901665894
75	0.6901594116
76	0.6901176636
77	0.6900879272
78	0.6900515625
79	0.6900174927
80	0.6899609741
81	0.6899406372
82	0.6899162354
83	0.689905896
84	0.6898684204
85	0.6898354492
86	0.6898077515
87	0.6897906738
88	0.6897629028
89	0.689733374
90	0.6896953369
91	0.6896661987
92	0.6896294189
93	0.6895925903
94	0.6895533325
95	0.6895191772
96	0.6894934082
97	0.689428125
98	0.6893792847
99	0.6893338989
